,Bank,In_Strength,Out_Strength,Betweenness,Katz,PageRank
BANCO SANTANDER,BANCO SANTANDER,0,14387153784,0,0,0.000194254134953484
BAYERNLB,BAYERNLB,0,362827415,0,0,0.000194254134953484
CIBC,CIBC,0,1549668065,0,0,0.000194254134953484
DEUTSCHE BANK,DEUTSCHE BANK,0,31423812826,0,0,0.000194254134953484
LLOYDS BANK,LLOYDS BANK,0,5566184558,0,0,0.000194254134953484
MIZUHO,MIZUHO,270288156,43205555082,9642,0,0.000256462291345304
SHIMIZU BANK,SHIMIZU BANK,0,2852716,0,0,0.000194254134953484
HOKKAIDO BANK,HOKKAIDO BANK,0,21420491,0,0,0.000194254134953484
NORTH PACIFIC BANK,NORTH PACIFIC BANK,0,13521187,0,0,0.000194254134953484
BANK OF AMERICA,BANK OF AMERICA,0,61103942660,0,0,0.000194254134953484
TD BANKNORTH,TD BANKNORTH,0,1.25e+08,0,0,0.000194254134953484
WACHOVIA BANK,WACHOVIA BANK,0,1.25e+08,0,0,0.000194254134953484
WELLS FARGO,WELLS FARGO,0,32711577274,0,0,0.000194254134953484
ABN AMRO BANK,ABN AMRO BANK,0,3036806837,0,0,0.000194254134953484
BANK OF IRELAND,BANK OF IRELAND,0,1491806843,0,0,0.000194254134953484
BANK OF NOVA SCOTIA,BANK OF NOVA SCOTIA,0,13217057762,0,0,0.000194254134953484
BAYERISCHE LANDESBANK GZ,BAYERISCHE LANDESBANK GZ,0,857744888,0,0,0.000194254134953484
COMMONWEALTH BANK OF AUSTRALIA,COMMONWEALTH BANK OF AUSTRALIA,2.5e+08,12647245464,49,0,0.000198258760446141
ING BANK,ING BANK,0,20271714461,0,0,0.000194254134953484
NATIONAL AUSTRALIA BANK,NATIONAL AUSTRALIA BANK,0,10307831220,0,0,0.000194254134953484
SOCIETE GENERALE,SOCIETE GENERALE,0,20886419519,0,0,0.000194254134953484
HANA BANK,HANA BANK,0,102929786,0,0,0.000194254134953484
KWANGJU BANK,KWANGJU BANK,0,1901502,0,0,0.000194254134953484
PUBLIC OFFICAL PUBLIC ASSOCIATION,PUBLIC OFFICAL PUBLIC ASSOCIATION,0,1901502,0,0,0.000194254134953484
JAPAN BANK FOR INTERNATIONAL COOPERATION,JAPAN BANK FOR INTERNATIONAL COOPERATION,0,3882293093,0,0,0.000194254134953484
-OPERATIVE GROUP,-OPERATIVE GROUP,0,29192764,0,0,0.000194254134953484
BANCA MONTE DEI PASCHI DI SIENA,BANCA MONTE DEI PASCHI DI SIENA,0,36473510,0,0,0.000194254134953484
IIB BANK,IIB BANK,0,29192764,0,0,0.000194254134953484
IKB DEUTSCHE INDUSTRIEBANK,IKB DEUTSCHE INDUSTRIEBANK,0,51916896,0,0,0.000194254134953484
KBC BANK,KBC BANK,0,614295038,0,0,0.000194254134953484
BANK NEDERLANDSE GEMEENTEN,BANK NEDERLANDSE GEMEENTEN,0,129361682,0,0,0.000194254134953484
BNP PARIBAS,BNP PARIBAS,0,35545616579,0,0,0.000194254134953484
SG CORPORATE & INVESTMENT,SG CORPORATE & INVESTMENT,0,129361682,0,0,0.000194254134953484
BPCE,BPCE,0,13931036090,0,0,0.000194254134953484
DEPFA BANK,DEPFA BANK,0,51043262,0,0,0.000194254134953484
DEXIA CREDIT LOCAL,DEXIA CREDIT LOCAL,0,51043262,0,0,0.000194254134953484
SMBC,SMBC,1118622958,51298226036,60445,0,0.00221345368587265
NORDLB GROUP,NORDLB GROUP,0,479228663,0,0,0.000194254134953484
CREDITO VALTELLINESE SCARL,CREDITO VALTELLINESE SCARL,0,27778646,0,0,0.000194254134953484
UNICREDIT GROUP (HVB),UNICREDIT GROUP (HVB),0,27778646,0,0,0.000194254134953484
KOREA FOUNDATION FOR PRIVATE SCHOOL,KOREA FOUNDATION FOR PRIVATE SCHOOL,0,2001019,0,0,0.000194254134953484
WOORI BANK,WOORI BANK,0,718301957,0,0,0.000194254134953484
CITI,CITI,3615047783,41308133214,18363,0.0842740869790249,0.000575809922832682
MUFG,MUFG,291951117,44777202678,6694,0,0.000726322851805104
BBVA,BBVA,0,7232381654,0,0,0.000194254134953484
