Borrower Name,Lender Name / Role,Sector,RIC,Tranche Type,Issue Date,Maturity Date,Discounted Spread,Tranche Amount (USD),Tranche Amount,Tranche Currency,Market Segment,Region,Market of Issue,Domicile,Specific Purpose,Base Rate / Margin,Seniority,Secured,Tenor,Tranche CUSIP,Ticker,SIC,NAIC,Contributed Pricing Source,LIN,Sponsored,Price (Ask),Price (Bid),Price (Mid),Pricing Source,Yield (to 3 yrs)
QNB BANK AS,"Banco BPI SA:Participant, Banco Caixa Geral SA [Ex-Banco Luso Espanol]:Participant, Bankgesellschaft Berlin AG:Participant, Bankia [ex-Caja Madrid]:Participant, Banque Cantonale de Geneve [BCGE]:Participant, Bayerische Hypo-und Vereinsbank AG [BHV]:Participant, International Finance Corp:Mandated arranger, MUFG Bank Ltd [ex-Bank of Tokyo-Mitsubishi Ltd]:Participant, Natixis SA [Ex-Natexis Banques Populaires]:Participant, Vereins-und Westbank AG:Participant",Banks (NEC),,Term Loan A,02-03-00,,--,"10,000,000","10,000,000",US Dollar,Project Finance,EMEA,Turkey,Turkey,Project Finance,LIBOR + 200,Senior,Yes,--,,QNBTR,"Finance, Insurance and Real Estate\Depository Institutions\Commercial Banks\Commercial Banks, Not Elsewhere Classified",Commercial Banking,,,No,--,--,--,,--
QNB BANK AS,"Banco BPI SA:Participant, Banco Caixa Geral SA [Ex-Banco Luso Espanol]:Participant, Bankgesellschaft Berlin AG:Participant, Bankia [ex-Caja Madrid]:Participant, Banque Cantonale de Geneve [BCGE]:Participant, Bayerische Hypo-und Vereinsbank AG [BHV]:Participant, International Finance Corp:Mandated arranger, MUFG Bank Ltd [ex-Bank of Tokyo-Mitsubishi Ltd]:Participant, Natixis SA [Ex-Natexis Banques Populaires]:Participant, Vereins-und Westbank AG:Participant",Banks (NEC),,Term Loan B,02-03-00,,--,"35,000,000","35,000,000",US Dollar,"Project Finance, Institutional",EMEA,Turkey,Turkey,Project Finance,LIBOR + 200,Senior,Yes,--,,QNBTR,"Finance, Insurance and Real Estate\Depository Institutions\Commercial Banks\Commercial Banks, Not Elsewhere Classified",Commercial Banking,,,No,--,--,--,,--
WILMINGTON TRUST CO,"BNL Plc:Participant, Bayerische Hypo-und Vereinsbank AG [BHV]:Participant, Bayerische Landesbank GZ [BayernLB]:Participant, KBC Group:Participant, Royal Bank of Scotland Plc [RBS]:Participant, Societe Generale SA:Admin agent, Sumitomo Bank:Participant",Investment Management & Fund Operators (NEC),,Revolver/Line >= 1 Yr.,05-06-00,,--,"183,000,000","183,000,000",US Dollar,"Project Finance, Investment Grade",North America,United States,United States,Project Finance,LIBOR + 12.5,Senior,,--,,MTBXWL,"Finance, Insurance and Real Estate\Depository Institutions\Commercial Banks\Commercial Banks, Not Elsewhere Classified",Portfolio Management and Investment Advice,,,No,--,--,--,,--
GLASGOW SCHOOL PTE FINANCE INITIATIVE,"DEPFA Bank Plc:Participant, Halifax Plc:Bookrunner, Lloyds Bank Plc [ex-Lloyds TSB Bank Plc]:Participant, Nationwide Building Society:Participant, NordLB Group:Participant, Prudential Plc:Participant",,,Term Loan,08-05-01,07-01-27,--,"347,422,370","277,250,000",British Pound,Project Finance,EMEA,United Kingdom,United Kingdom,Project Finance,LIBOR + 105,Senior,Yes,308,,GLHII,Public Administration\Administration of Environmental Quality and Housing Programs\Administration of Housing and Urban Development Programs\Administration of Urban Planning and Community and Rural Development,Administration of Urban Planning and Community and Rural Development,,,No,--,--,--,,--
ASIA PACIFIC TRANSPORT FINANCE PTY LTD,"Macquarie Bank Ltd:Arranger, RBS Australia:Arranger",Freight Logistics,,Term Loan,14-09-01,,--,"51,033,012","78,500,000",Australian Dollar,Project Finance,Asia,Australia,Australia,Project Finance,,Subordinated,No,--,,ASIPA,"Transportation, Communications, Electric, Gas, And Sanitary Services\Transportation Services\Arrangement of Transportation of Freight and Cargo\Arrangement of Transportation of Freight and Cargo",Freight Transportation Arrangement,,,No,--,--,--,,--
METRONET RAIL SSL FINANCE PLC,"BayernLB:Arranger, CIBC Inc:Mandated arranger, Deutsche Bank AG:Mandated arranger, Royal Bank of Scotland Plc [US]:Mandated arranger, Santander UK Plc [ex-Abbey National Plc]:Mandated arranger","Passenger Transportation, Ground & Sea (NEC)",,Revolver/Line >= 1 Yr.,26-03-03,25-03-30,--,"144,106,664","115,000,000",British Pound,Project Finance,EMEA,United Kingdom,United Kingdom,Project Finance,LIBOR + 145,Senior,Yes,324,,METVV,"Transportation, Communications, Electric, Gas, And Sanitary Services\Railroad Transportation\Railroads\Railroads, Line- Haul operating",Other Financial Vehicles,,,No,--,--,--,,--
METRONET RAIL BCV FINANCE PLC,"BayernLB:Arranger, CIBC Inc:Bookrunner, Deutsche Bank AG:Bookrunner, Royal Bank of Scotland Plc [US]:Bookrunner, Santander UK Plc [ex-Abbey National Plc]:Mandated arranger","Passenger Transportation, Ground & Sea (NEC)",,Term Loan,26-03-03,25-03-30,--,"413,523,471","330,000,000",British Pound,Project Finance,EMEA,United Kingdom,United Kingdom,Project Finance,LIBOR + 145,Senior,Yes,324,,METRF,"Transportation, Communications, Electric, Gas, And Sanitary Services\Railroad Transportation\Railroads\Railroads, Line- Haul operating",,,,No,--,--,--,,--
METRONET RAIL BCV FINANCE PLC,"BayernLB:Arranger, CIBC Inc:Bookrunner, Deutsche Bank AG:Bookrunner, Royal Bank of Scotland Plc [US]:Bookrunner, Santander UK Plc [ex-Abbey National Plc]:Mandated arranger","Passenger Transportation, Ground & Sea (NEC)",,Revolver/Line >= 1 Yr.,26-03-03,25-03-30,--,"144,106,664","115,000,000",British Pound,Project Finance,EMEA,United Kingdom,United Kingdom,Project Finance,LIBOR + 145,Senior,Yes,324,,METRF,"Transportation, Communications, Electric, Gas, And Sanitary Services\Railroad Transportation\Railroads\Railroads, Line- Haul operating",,,,No,--,--,--,,--
METRONET RAIL BCV FINANCE PLC,European Investment Bank [EIB]:Mandated arranger,"Passenger Transportation, Ground & Sea (NEC)",,Term Loan,26-03-03,,--,"375,930,428","300,000,000",British Pound,Project Finance,EMEA,United Kingdom,United Kingdom,Project Finance,,Senior,Yes,--,,METRF,"Transportation, Communications, Electric, Gas, And Sanitary Services\Railroad Transportation\Railroads\Railroads, Line- Haul operating",,,,No,--,--,--,,--
METRONET RAIL SSL FINANCE PLC,"BayernLB:Arranger, CIBC Inc:Bookrunner, Deutsche Bank AG:Bookrunner, Royal Bank of Scotland Plc [US]:Bookrunner, Santander UK Plc [ex-Abbey National Plc]:Mandated arranger","Passenger Transportation, Ground & Sea (NEC)",,Term Loan,26-03-03,25-03-30,--,"413,523,471","330,000,000",British Pound,Project Finance,EMEA,United Kingdom,United Kingdom,Project Finance,LIBOR + 145,Senior,Yes,324,,METVV,"Transportation, Communications, Electric, Gas, And Sanitary Services\Railroad Transportation\Railroads\Railroads, Line- Haul operating",Other Financial Vehicles,,,No,--,--,--,,--
